driverId,week,hours-logged,miles-logged
338,47,56,3500
885,3,62,1300
41,13,57,900
252,17,74,1700
396,16,52,1300
478,31,64,600
970,31,68,3600
79,32,59,600
748,44,63,2000
231,17,62,0
1004,4,55,300
563,46,64,2300
790,14,62,1500
417,28,71,2600
364,9,57,2700
832,30,50,600
168,37,52,2800
893,15,62,3800
222,15,64,900
719,20,61,800
643,21,59,500
86,8,78,3300
863,48,71,900
109,22,58,2000
590,51,78,3900
530,7,66,2000
712,38,78,1700
387,34,80,2500
744,9,71,3200
491,14,72,1200
590,21,58,500
858,14,65,3500
130,13,71,3800
234,14,50,200
777,38,52,3400
474,37,78,600
894,7,77,2600
173,48,80,3600
573,48,79,4000
669,44,66,1200
423,15,67,2300
129,13,54,900
924,39,57,1700
509,21,68,1800
635,9,73,2800
398,1,61,100
795,11,65,2600
84,36,75,1600
138,52,79,1300
398,13,61,4000
169,16,59,3900
509,33,66,1500
973,47,51,200
864,8,64,300
252,16,53,3000
886,18,52,2700
497,43,69,4000
16,43,70,3500
113,36,50,200
359,48,69,2600
143,2,70,2100
705,9,70,1500
19,32,66,300
721,39,64,500
14,17,65,1500
902,34,50,1700
968,38,69,1200
58,45,77,1800
948,36,59,2700
859,9,60,1100
628,25,51,1100
106,36,65,1100
947,40,59,800
391,2,78,600
885,13,50,4000
607,35,78,3300
458,17,56,1000
10,4,77,1600
397,34,50,1400
693,33,72,0
955,17,68,0
896,13,58,3800
565,45,77,1000
749,5,69,2200
345,46,75,0
31,50,67,1200
466,30,75,900
960,47,61,3900
905,32,77,2300
490,35,63,1200
607,27,67,3300
610,37,52,2200
519,7,58,3100
13,17,67,2100
779,4,56,900
475,7,51,2900
250,35,76,1500
865,41,74,500
718,33,78,3000
63,37,71,2800
34,2,60,2100
263,40,80,3500
170,45,63,2500
119,23,58,3400
265,14,70,3800
368,16,52,2100
340,24,71,2800
748,23,59,900
903,32,70,2500
681,28,75,1500
912,6,60,3000
899,36,72,4000
686,1,66,1400
142,47,50,2900
982,20,77,3900
489,49,75,1400
835,38,56,3900
603,10,76,1200
615,35,63,700
35,12,72,2600
152,7,65,2600
117,33,69,2300
417,31,57,500
890,52,62,1900
234,30,71,600
475,31,69,1600
507,50,62,1000
146,35,67,3000
344,50,63,2400
70,35,51,600
840,3,55,2000
978,10,52,1000
20,33,69,100
793,25,69,2500
379,25,59,1900
669,42,62,0
384,45,80,3400
492,8,61,2600
380,49,72,3800
946,3,52,1800
327,45,58,3800
309,52,60,300
128,19,61,3900
732,17,56,500
82,14,61,1500
853,34,56,1400
157,35,62,1100
268,45,69,2800
383,26,79,1400
162,2,80,2100
648,46,73,1000
1005,34,75,1100
73,29,51,3100
850,34,50,2800
971,9,64,3800
383,28,50,3300
125,12,60,200
480,49,64,3300
526,27,52,3100
765,15,53,500
400,30,59,900
555,10,57,300
279,38,73,1800
306,42,71,2500
521,44,56,100
43,50,58,700
821,41,79,1100
516,23,62,1100
192,23,51,2400
61,35,63,3300
273,20,54,2300
914,18,63,0
54,51,68,900
989,38,73,2500
915,11,69,2900
83,20,54,2800
25,13,76,1100
715,34,50,900
